Angle(deg),Range(m),Intensity
-3,3.55,500
-4,3.583,500
-5,3.597,500
-6,3.537,400
-7,3.591,500
-8,3.566,400
-9,3.637,500
-10,3.603,400
-11,3.615,400
-12,3.682,400
-13,3.696,400
-14,3.697,400
-15,3.725,400
-16,3.759,400
-17,3.787,400
-18,3.87,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0.128,2900
39,0.132,2600
38,0,0
37,0,0
36,0,0
35,4.075,300
34,4.163,400
33,4.042,300
32,0,0
31,0,0
30,0,0
29,3.954,400
28,3.859,300
27,3.877,500
26,3.882,600
25,3.847,500
24,0,0
23,3.922,200
22,3.781,600
21,3.648,500
20,3.71,400
19,3.677,400
18,3.66,400
17,3.706,200
16,3.617,300
15,3.589,300
14,3.574,500
13,3.574,500
12,3.564,500
11,3.532,400
10,0,0
9,0,0
8,0,0
7,3.54,400
6,3.534,600
5,3.565,200
4,3.515,500
3,3.561,600
2,3.53,600
0.999998,3.567,600
0,3.527,500
-1,3.498,400
-2,3.564,500
-3,3.557,500
-4,3.586,500
-5,3.627,600
-6,3.583,500
-7,3.579,500
-8,3.606,500
-9,3.636,500
-10,3.607,400
